n_business,n_coffee,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,n_starbucks,zipcode
92.0,5.0,25.0,32.0,2.0,33.0,1841.0,1.0,0.0,5.0,13.0,20.0,20.0,15.0,12.0,65.0,1.0,53105
177.0,15.0,51.0,53.0,5.0,68.0,1925.0,11.0,1.0,9.0,20.0,21.0,21.0,37.0,26.0,114.0,1.0,54130
220.0,16.0,70.0,76.0,0.0,74.0,5892.0,2.0,3.0,12.0,28.0,58.0,58.0,39.0,24.0,157.0,2.0,53139
168.0,17.0,53.0,45.0,2.0,68.0,1896.0,8.0,3.0,7.0,11.0,30.0,30.0,32.0,27.0,109.0,3.0,53065
601.0,57.0,238.0,219.0,21.0,123.0,45995.0,7.0,5.0,13.0,41.0,115.0,115.0,212.0,91.0,298.0,3.0,53703
823.0,78.0,341.0,283.0,21.0,178.0,51850.0,14.0,11.0,37.0,64.0,155.0,155.0,257.0,113.0,453.0,6.0,53716
77.0,9.0,23.0,26.0,2.0,26.0,953.0,2.0,1.0,5.0,5.0,19.0,19.0,14.0,15.0,48.0,0.0,53931
56.0,3.0,11.0,23.0,0.0,22.0,963.0,2.0,2.0,2.0,3.0,9.0,9.0,17.0,10.0,29.0,0.0,54521
203.0,14.0,84.0,68.0,7.0,44.0,9290.0,2.0,2.0,6.0,22.0,51.0,51.0,49.0,22.0,132.0,3.0,53528
75.0,5.0,19.0,26.0,0.0,30.0,520.0,4.0,0.0,9.0,8.0,6.0,6.0,16.0,4.0,55.0,0.0,54494
830.0,75.0,337.0,289.0,22.0,182.0,51976.0,13.0,13.0,36.0,70.0,158.0,158.0,255.0,106.0,469.0,8.0,53714
219.0,23.0,88.0,63.0,4.0,64.0,4238.0,5.0,9.0,11.0,16.0,28.0,28.0,50.0,36.0,133.0,3.0,54720
75.0,5.0,26.0,20.0,0.0,29.0,697.0,7.0,3.0,4.0,5.0,7.0,7.0,13.0,17.0,45.0,0.0,53098
123.0,11.0,39.0,44.0,2.0,38.0,1800.0,7.0,1.0,7.0,16.0,18.0,18.0,27.0,16.0,80.0,1.0,54136
113.0,11.0,38.0,34.0,1.0,40.0,1028.0,2.0,2.0,8.0,6.0,15.0,15.0,23.0,25.0,65.0,0.0,53922
354.0,26.0,117.0,128.0,5.0,104.0,6623.0,3.0,12.0,24.0,38.0,70.0,70.0,79.0,33.0,242.0,7.0,53076
1000.0,93.0,429.0,437.0,33.0,101.0,75516.0,1.0,2.0,17.0,58.0,255.0,255.0,316.0,169.0,515.0,10.0,53704
350.0,19.0,105.0,121.0,12.0,112.0,13306.0,8.0,7.0,8.0,26.0,81.0,81.0,66.0,59.0,225.0,2.0,53128
