zipcode,n_business,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,n_d1_bagels,n_d2_bagels,n_d3_bagels,n_d4_bagels,n_d1_gourmet,n_d2_gourmet,n_d3_gourmet,n_d4_gourmet,n_d1_french,n_d2_french,n_d3_french,n_d4_french,n_d1_breweries,n_d2_breweries,n_d3_breweries,n_d4_breweries,n_d1_steak,n_d2_steak,n_d3_steak,n_d4_steak,n_d1_grocery,n_d2_grocery,n_d3_grocery,n_d4_grocery,n_d1_wine_bars,n_d2_wine_bars,n_d3_wine_bars,n_d4_wine_bars,n_d1_burgers,n_d2_burgers,n_d3_burgers,n_d4_burgers,n_d1_sushi,n_d2_sushi,n_d3_sushi,n_d4_sushi,n_d1_coffee,n_d2_coffee,n_d3_coffee,n_d4_coffee,n_s1_bagels,n_s1plus_bagels,n_s2_bagels,n_s2plus_bagels,n_s3_bagels,n_s3plus_bagels,n_s4_bagels,n_s4plus_bagels,n_s5_bagels,n_s1_gourmet,n_s1plus_gourmet,n_s2_gourmet,n_s2plus_gourmet,n_s3_gourmet,n_s3plus_gourmet,n_s4_gourmet,n_s4plus_gourmet,n_s5_gourmet,n_s1_french,n_s1plus_french,n_s2_french,n_s2plus_french,n_s3_french,n_s3plus_french,n_s4_french,n_s4plus_french,n_s5_french,n_s1_breweries,n_s1plus_breweries,n_s2_breweries,n_s2plus_breweries,n_s3_breweries,n_s3plus_breweries,n_s4_breweries,n_s4plus_breweries,n_s5_breweries,n_s1_steak,n_s1plus_steak,n_s2_steak,n_s2plus_steak,n_s3_steak,n_s3plus_steak,n_s4_steak,n_s4plus_steak,n_s5_steak,n_s1_grocery,n_s1plus_grocery,n_s2_grocery,n_s2plus_grocery,n_s3_grocery,n_s3plus_grocery,n_s4_grocery,n_s4plus_grocery,n_s5_grocery,n_s1_wine_bars,n_s1plus_wine_bars,n_s2_wine_bars,n_s2plus_wine_bars,n_s3_wine_bars,n_s3plus_wine_bars,n_s4_wine_bars,n_s4plus_wine_bars,n_s5_wine_bars,n_s1_burgers,n_s1plus_burgers,n_s2_burgers,n_s2plus_burgers,n_s3_burgers,n_s3plus_burgers,n_s4_burgers,n_s4plus_burgers,n_s5_burgers,n_s1_sushi,n_s1plus_sushi,n_s2_sushi,n_s2plus_sushi,n_s3_sushi,n_s3plus_sushi,n_s4_sushi,n_s4plus_sushi,n_s5_sushi,n_s1_coffee,n_s1plus_coffee,n_s2_coffee,n_s2plus_coffee,n_s3_coffee,n_s3plus_coffee,n_s4_coffee,n_s4plus_coffee,n_s5_coffee,average_agi,p_ge_d2,p_ge_d3,score_d,score_avg_d,p_ge_s2,p_ge_s2plus,p_ge_s3,p_ge_s3plus,p_ge_s4,p_ge_s4plus,score_s,score_avg_s,score_d_categories,n_breweries,p_breweries,p_ge_d2_breweries,p_ge_d3_breweries,score_d_breweries,n_burgers,p_burgers,p_ge_d2_burgers,p_ge_d3_burgers,score_d_burgers,n_grocery,p_grocery,p_ge_d2_grocery,p_ge_d3_grocery,score_d_grocery,n_sushi,p_sushi,p_ge_d2_sushi,p_ge_d3_sushi,score_d_sushi,n_coffee,p_coffee,p_ge_d2_coffee,p_ge_d3_coffee,score_d_coffee,n_bagels,p_bagels,p_ge_d2_bagels,p_ge_d3_bagels,score_d_bagels,n_wine_bars,p_wine_bars,p_ge_d2_wine_bars,p_ge_d3_wine_bars,score_d_wine_bars,n_steak,p_steak,p_ge_d2_steak,p_ge_d3_steak,score_d_steak,n_french,p_french,p_ge_d2_french,p_ge_d3_french,score_d_french,n_gourmet,p_gourmet,p_ge_d2_gourmet,p_ge_d3_gourmet,score_d_gourmet,score_s_categories,n_s_breweries,p_s_breweries,p_ge_s2_breweries,p_ge_s2plus_breweries,p_ge_s3_breweries,p_ge_s3plus_breweries,p_ge_s4_breweries,p_ge_s4plus_breweries,p_ge_s5_breweries,score_s_breweries,n_s_burgers,p_s_burgers,p_ge_s2_burgers,p_ge_s2plus_burgers,p_ge_s3_burgers,p_ge_s3plus_burgers,p_ge_s4_burgers,p_ge_s4plus_burgers,p_ge_s5_burgers,score_s_burgers,n_s_grocery,p_s_grocery,p_ge_s2_grocery,p_ge_s2plus_grocery,p_ge_s3_grocery,p_ge_s3plus_grocery,p_ge_s4_grocery,p_ge_s4plus_grocery,p_ge_s5_grocery,score_s_grocery,n_s_sushi,p_s_sushi,p_ge_s2_sushi,p_ge_s2plus_sushi,p_ge_s3_sushi,p_ge_s3plus_sushi,p_ge_s4_sushi,p_ge_s4plus_sushi,p_ge_s5_sushi,score_s_sushi,n_s_coffee,p_s_coffee,p_ge_s2_coffee,p_ge_s2plus_coffee,p_ge_s3_coffee,p_ge_s3plus_coffee,p_ge_s4_coffee,p_ge_s4plus_coffee,p_ge_s5_coffee,score_s_coffee,n_s_bagels,p_s_bagels,p_ge_s2_bagels,p_ge_s2plus_bagels,p_ge_s3_bagels,p_ge_s3plus_bagels,p_ge_s4_bagels,p_ge_s4plus_bagels,p_ge_s5_bagels,score_s_bagels,n_s_wine_bars,p_s_wine_bars,p_ge_s2_wine_bars,p_ge_s2plus_wine_bars,p_ge_s3_wine_bars,p_ge_s3plus_wine_bars,p_ge_s4_wine_bars,p_ge_s4plus_wine_bars,p_ge_s5_wine_bars,score_s_wine_bars,n_s_steak,p_s_steak,p_ge_s2_steak,p_ge_s2plus_steak,p_ge_s3_steak,p_ge_s3plus_steak,p_ge_s4_steak,p_ge_s4plus_steak,p_ge_s5_steak,score_s_steak,n_s_french,p_s_french,p_ge_s2_french,p_ge_s2plus_french,p_ge_s3_french,p_ge_s3plus_french,p_ge_s4_french,p_ge_s4plus_french,p_ge_s5_french,score_s_french,n_s_gourmet,p_s_gourmet,p_ge_s2_gourmet,p_ge_s2plus_gourmet,p_ge_s3_gourmet,p_ge_s3plus_gourmet,p_ge_s4_gourmet,p_ge_s4plus_gourmet,p_ge_s5_gourmet,score_s_gourmet
53004,64,26,37,0,1,1395,3,11,18,88,228,325,262,423,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,6,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,67920,0.59,0.02,104,1.62,0.99,0.98,0.91,0.75,0.52,0.33,5233.5,3.75,22,0,0.0,0.0,0.0,0,8,0.12,0.25,0.0,10,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,5,0.08,0.2,0.0,6,0,0.0,0.0,0.0,0,1,0.02,1.0,0.0,2,2,0.03,1.0,0.0,4,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,52.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.01,0.88,0.75,0.75,0.5,0.38,0.12,0,25.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0.8,0.6,0.6,0.4,0.2,0.0,0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4.0,2,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53006,8,5,3,0,0,123,0,8,0,0,49,0,34,24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60714,0.38,0.0,11,1.38,0.93,0.93,0.93,0.54,0.54,0.26,443.0,3.6,6,0,0.0,0.0,0.0,0,4,0.5,0.25,0.0,5,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.12,0.0,0.0,1,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,15.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0.03,0.75,0.75,0.75,0.75,0.75,0.25,0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53018,363,177,173,13,0,10591,30,156,243,389,1750,3121,3112,1552,238,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,3,3,0,0,3,1,0,0,8,1,0,22,14,0,0,0,6,0,0,33,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,3,2,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,2,5,2,0,2,5,3,2,5,9,5,5,0,0,0,0,0,3,1,2,0,0,2,4,5,3,4,3,7,13,2,121996,0.51,0.04,562,1.55,0.98,0.96,0.92,0.76,0.46,0.17,38518.0,3.64,171,4,0.01,1.0,0.0,8,36,0.1,0.39,0.0,50,4,0.01,1.0,0.25,9,6,0.02,1.0,0.0,12,43,0.12,0.23,0.0,53,1,0.0,0.0,0.0,1,9,0.02,1.0,0.11,19,7,0.02,0.86,0.43,16,0,0.0,0.0,0.0,0,1,0.0,1.0,1.0,3,370.5,4,0.0,1.0,1.0,1.0,0.75,0.25,0.25,0,14.5,36,0.0,0.81,0.72,0.67,0.53,0.28,0.14,0,109.5,4,0.0,1.0,1.0,0.75,0.75,0.75,0.5,0,15.5,6,0.0,1.0,1.0,1.0,0.5,0.33,0.0,0,20.5,43,0.0,0.86,0.74,0.67,0.58,0.51,0.35,0,144.5,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3.0,9,0.0,1.0,1.0,1.0,1.0,0.78,0.22,0,36.0,7,0.0,1.0,1.0,1.0,0.71,0.29,0.0,0,24.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2.5
53022,112,46,63,3,0,3469,0,40,291,331,617,1147,822,192,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,8,7,0,0,0,2,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,5,2,0,0,0,0,0,0,0,0,2,0,0,0,1,3,2,0,2,1,1,1,77378,0.59,0.03,181,1.62,0.99,0.9,0.81,0.63,0.3,0.06,11632.0,3.35,54,0,0.0,0.0,0.0,0,15,0.13,0.47,0.0,22,1,0.01,1.0,1.0,3,2,0.02,1.0,0.0,4,11,0.1,0.45,0.09,17,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,0.02,1.0,0.5,5,0,0.0,0.0,0.0,0,1,0.01,1.0,1.0,3,95.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15,0.0,0.87,0.53,0.47,0.47,0.13,0.0,0,41.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3.5,2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,8.0,11,0.0,0.91,0.64,0.45,0.45,0.27,0.18,0,33.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,3.5
53024,228,94,127,6,1,7464,3,148,327,361,1204,2526,1855,985,55,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,2,0,0,6,0,0,14,11,0,0,0,1,0,0,11,9,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,3,0,0,5,3,3,6,4,3,1,0,0,0,0,0,1,0,0,0,0,0,4,2,1,2,4,4,3,1,81371,0.59,0.03,370,1.62,0.98,0.94,0.89,0.73,0.39,0.14,26362.0,3.53,106,1,0.0,0.0,0.0,1,25,0.11,0.44,0.0,36,3,0.01,1.0,0.67,8,1,0.0,1.0,0.0,2,21,0.09,0.48,0.05,32,2,0.01,0.5,0.0,3,6,0.03,1.0,0.0,12,2,0.01,1.0,0.0,4,0,0.0,0.0,0.0,0,3,0.01,1.0,0.67,8,205.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5,25,0.0,0.8,0.68,0.56,0.32,0.16,0.04,0,69.5,3,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,10.5,1,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,3.0,21,0.0,0.81,0.71,0.67,0.57,0.38,0.19,0,67.0,2,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0,7.0,6,0.0,1.0,1.0,1.0,0.83,0.83,0.5,0,24.5,2,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0,8.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,10.5
53027,51,28,23,0,0,1211,0,11,3,6,218,364,489,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,67674,0.45,0.0,74,1.45,0.99,0.99,0.98,0.8,0.5,0.1,4481.5,3.7,19,0,0.0,0.0,0.0,0,7,0.14,0.43,0.0,10,0,0.0,0.0,0.0,0,1,0.02,1.0,0.0,2,2,0.04,0.5,0.0,3,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,0.04,1.0,0.0,4,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,43.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7,0.01,1.0,1.0,0.86,0.71,0.43,0.14,0,25.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4.0,2,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0,7.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0,6.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53034,51,26,24,1,0,537,2,0,0,25,53,108,136,198,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,51823,0.49,0.02,77,1.51,1.0,1.0,0.95,0.85,0.65,0.4,2111.5,3.93,16,0,0.0,0.0,0.0,0,2,0.04,0.5,0.0,3,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,5,0.1,0.6,0.2,9,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,2,0.04,1.0,0.0,4,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,35.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,6.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.01,1.0,1.0,1.0,1.0,1.0,0.6,0,21.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,1.0,1.0,1.0,1.0,0.5,0.5,0,8.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53038,104,54,50,0,0,1837,12,45,37,256,104,351,549,454,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,5,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,2,4,0,64793,0.48,0.0,154,1.48,0.97,0.95,0.81,0.75,0.56,0.26,6718.0,3.66,38,1,0.01,1.0,0.0,2,13,0.12,0.38,0.0,18,0,0.0,0.0,0.0,0,1,0.01,1.0,0.0,2,10,0.1,0.4,0.0,14,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,1,0.01,1.0,0.0,2,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,89.0,1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,4.0,13,0.01,0.85,0.85,0.85,0.62,0.46,0.08,0,43.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5,10,0.01,0.8,0.8,0.7,0.6,0.6,0.4,0,34.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,2.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
53057,63,32,29,2,0,1085,2,10,0,3,73,144,358,445,50,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,1,0,1,0,8,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,63380,0.49,0.03,96,1.52,0.99,0.99,0.99,0.92,0.79,0.46,4432.0,4.08,41,0,0.0,0.0,0.0,0,12,0.19,0.33,0.0,16,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,4,0.06,0.5,0.0,6,1,0.02,0.0,0.0,1,2,0.03,0.5,0.5,4,6,0.1,0.83,0.17,12,0,0.0,0.0,0.0,0,1,0.02,1.0,0.0,2,107.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,12,0.01,1.0,1.0,0.92,0.83,0.75,0.33,0,47.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0.0,1.0,1.0,0.75,0.75,0.75,0.75,0,17.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5,2,0.0,1.0,1.0,1.0,1.0,1.0,0.5,0,9.0,6,0.01,1.0,1.0,1.0,1.0,1.0,0.33,0,25.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5
53065,100,53,45,2,0,1675,9,10,18,78,229,372,522,388,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,2,0,17,7,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2,2,5,8,4,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,1,2,59220,0.47,0.02,149,1.49,0.99,0.98,0.93,0.79,0.57,0.26,6323.0,3.77,64,0,0.0,0.0,0.0,0,24,0.24,0.29,0.0,31,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,11,0.11,0.45,0.0,16,1,0.01,0.0,0.0,1,3,0.03,0.67,0.67,7,4,0.04,1.0,0.25,9,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,151.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,24,0.01,0.92,0.88,0.79,0.71,0.5,0.17,0,83.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,11,0.01,0.82,0.73,0.64,0.55,0.45,0.27,0,36.0,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0,4.5,3,0.0,1.0,1.0,1.0,0.67,0.67,0.33,0,12.0,4,0.0,1.0,1.0,1.0,1.0,0.75,0.0,0,15.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
