zipcode,population,cost_of_living,area,median_income,n_business,n_coffee,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5,n_starbucks,avg_d,density_bus_area,density_bus_pop,avg_s,rev_to_bus
53018,8065.0,101.2,11.5,96683.0,506.0,51.0,179.0,173.0,13.0,141.0,11125.0,16.0,13.0,22.0,40.0,83.0,83.0,121.0,73.0,312.0,6.0,2.2292490118577075,44.0,0.06274023558586485,4.051769331585845,21.986166007905137
53022,19509.0,100.0,27.9,81688.0,159.0,12.0,46.0,63.0,3.0,47.0,3658.0,0.0,3.0,18.0,17.0,35.0,35.0,40.0,12.0,107.0,4.0,2.3207547169811322,5.698924731182796,0.008150084576349376,3.9681647940074907,23.0062893081761
53034,1769.0,88.9,8.3,59674.0,94.0,7.0,26.0,24.0,1.0,43.0,654.0,6.0,0.0,2.0,5.0,12.0,12.0,23.0,17.0,54.0,0.0,2.648936170212766,11.325301204819276,0.05313736574335783,4.114503816793893,6.957446808510638
53038,4299.0,82.8,30.2,74924.0,161.0,13.0,55.0,50.0,0.0,56.0,2033.0,14.0,5.0,12.0,14.0,22.0,22.0,34.0,28.0,99.0,1.0,2.3540372670807455,5.33112582781457,0.03745056989997674,3.922,12.627329192546584
53045,21522.0,102.0,14.4,100149.0,575.0,50.0,211.0,222.0,12.0,130.0,19256.0,15.0,19.0,31.0,70.0,134.0,134.0,121.0,51.0,403.0,14.0,2.106086956521739,39.93055555555556,0.026716847876591395,3.967280163599182,33.48869565217392
53051,36695.0,99.8,33.0,77318.0,250.0,19.0,88.0,98.0,5.0,59.0,6021.0,4.0,11.0,29.0,29.0,61.0,61.0,52.0,21.0,177.0,5.0,2.14,7.575757575757576,0.0068129172911840855,3.898876404494382,24.084
53057,1628.0,87.3,33.0,68643.0,108.0,6.0,32.0,29.0,2.0,45.0,1225.0,4.0,3.0,3.0,4.0,13.0,13.0,22.0,24.0,62.0,1.0,2.5555555555555554,3.272727272727273,0.06633906633906633,4.155405405405405,11.342592592592593
53065,2379.0,88.5,44.7,64488.0,168.0,17.0,53.0,45.0,2.0,68.0,1896.0,8.0,3.0,7.0,11.0,30.0,30.0,32.0,27.0,109.0,3.0,2.505952380952381,3.7583892617449663,0.07061790668348046,4.060311284046692,11.285714285714286
53086,8106.0,99.3,21.5,78933.0,301.0,20.0,89.0,107.0,7.0,98.0,5609.0,3.0,10.0,17.0,21.0,66.0,66.0,70.0,29.0,202.0,5.0,2.3787375415282392,14.0,0.037132987910189985,4.037190082644628,18.634551495016613
53091,1927.0,88.0,25.8,56967.0,66.0,6.0,14.0,21.0,0.0,31.0,615.0,1.0,2.0,1.0,1.0,9.0,9.0,16.0,17.0,33.0,0.0,2.727272727272727,2.558139534883721,0.034250129735339904,4.185393258426966,9.318181818181818
53092,21525.0,100.6,20.4,97503.0,741.0,73.0,246.0,285.0,12.0,198.0,20642.0,23.0,42.0,64.0,70.0,157.0,157.0,164.0,83.0,494.0,13.0,2.2186234817813766,36.32352941176471,0.03442508710801394,3.9146730462519934,27.856950067476383
53119,5519.0,92.8,38.6,86573.0,130.0,11.0,38.0,37.0,1.0,54.0,2113.0,4.0,2.0,3.0,11.0,21.0,21.0,31.0,21.0,78.0,1.0,2.546153846153846,3.3678756476683938,0.023554991846348978,4.091145833333333,16.253846153846155
53128,9149.0,84.5,25.4,55980.0,350.0,19.0,105.0,121.0,12.0,112.0,13306.0,8.0,7.0,8.0,26.0,81.0,81.0,66.0,59.0,225.0,2.0,2.374285714285714,13.779527559055119,0.03825554705432287,4.065062388591801,38.01714285714286
53129,14476.0,99.5,5.1,66995.0,224.0,18.0,83.0,88.0,4.0,49.0,6773.0,6.0,7.0,11.0,15.0,49.0,49.0,57.0,23.0,144.0,5.0,2.0848214285714284,43.92156862745098,0.015473887814313346,4.0055401662049865,30.236607142857142
53130,7913.0,100.5,3.2,69198.0,59.0,5.0,17.0,26.0,0.0,16.0,1735.0,1.0,2.0,2.0,2.0,11.0,11.0,15.0,10.0,34.0,1.0,2.2542372881355934,18.4375,0.007456084923543536,4.0852272727272725,29.406779661016948
53154,35723.0,100.1,28.5,70660.0,423.0,36.0,160.0,154.0,8.0,101.0,12477.0,8.0,14.0,31.0,34.0,98.0,98.0,94.0,49.0,280.0,9.0,2.1182033096926713,14.842105263157896,0.01184111076897237,3.979461756373938,29.49645390070922
53168,8752.0,106.0,35.2,75015.0,63.0,2.0,22.0,17.0,2.0,22.0,1290.0,0.0,0.0,2.0,3.0,14.0,14.0,14.0,11.0,38.0,0.0,2.380952380952381,1.789772727272727,0.007198354661791591,4.145833333333333,20.476190476190474
53179,6825.0,105.9,10.8,66924.0,574.0,43.0,186.0,208.0,2.0,178.0,19431.0,15.0,16.0,41.0,63.0,122.0,122.0,101.0,64.0,409.0,7.0,2.299651567944251,53.148148148148145,0.0841025641025641,3.996327387198321,33.85191637630662
53186,34513.0,99.7,12.6,58931.0,409.0,37.0,148.0,150.0,13.0,98.0,12312.0,8.0,12.0,21.0,46.0,75.0,75.0,89.0,44.0,276.0,8.0,2.1491442542787285,32.46031746031746,0.011850607017645525,4.031733746130031,30.102689486552567
53189,26587.0,99.9,47.4,85575.0,312.0,29.0,112.0,101.0,7.0,92.0,7022.0,10.0,9.0,13.0,33.0,53.0,53.0,66.0,43.0,203.0,4.0,2.253205128205128,6.582278481012659,0.011735058487230601,4.0351966873706,22.506410256410255
53202,25186.0,101.4,2.1,53426.0,839.0,69.0,267.0,311.0,28.0,233.0,59516.0,13.0,7.0,32.0,45.0,164.0,164.0,260.0,159.0,420.0,9.0,2.2705601907032182,399.5238095238095,0.03331215754784404,4.0518196202531644,70.93682955899881
53206,25160.0,97.9,2.7,23497.0,659.0,51.0,217.0,234.0,16.0,192.0,38258.0,15.0,16.0,22.0,46.0,136.0,136.0,191.0,103.0,365.0,7.0,2.2776934749620636,244.07407407407405,0.026192368839427663,4.014077669902913,58.0546282245827
53225,26611.0,99.1,6.9,43542.0,128.0,7.0,48.0,44.0,0.0,36.0,3022.0,5.0,10.0,14.0,15.0,26.0,26.0,24.0,11.0,93.0,1.0,2.1875,18.55072463768116,0.004810040960505055,3.861607142857143,23.609375
53233,16012.0,101.5,1.7,14735.0,992.0,78.0,332.0,357.0,29.0,274.0,65224.0,20.0,16.0,36.0,55.0,185.0,185.0,297.0,183.0,512.0,10.0,2.246975806451613,583.5294117647059,0.06195353484886335,4.048018804566824,65.75
53403,26627.0,96.6,9.5,44150.0,147.0,5.0,63.0,42.0,1.0,41.0,3044.0,5.0,3.0,3.0,7.0,27.0,27.0,33.0,29.0,85.0,0.0,2.1360544217687076,15.473684210526315,0.005520712059188042,4.091324200913242,20.707482993197278
53405,25526.0,96.5,6.5,53652.0,187.0,11.0,81.0,57.0,3.0,46.0,3952.0,6.0,10.0,7.0,19.0,35.0,35.0,32.0,34.0,121.0,2.0,2.0748663101604277,28.76923076923077,0.007325863825119486,4.0,21.13368983957219
53406,26625.0,97.2,16.6,61046.0,532.0,36.0,222.0,139.0,6.0,165.0,12867.0,18.0,24.0,22.0,49.0,91.0,91.0,118.0,82.0,332.0,3.0,2.2142857142857144,32.04819277108434,0.019981220657276994,4.006045949214027,24.18609022556391
53522,1135.0,87.6,38.7,57021.0,61.0,5.0,20.0,16.0,0.0,25.0,595.0,0.0,0.0,2.0,5.0,4.0,4.0,16.0,10.0,35.0,0.0,2.4918032786885247,1.5762273901808785,0.053744493392070485,4.296052631578948,9.754098360655737
53525,4007.0,88.0,55.8,66395.0,287.0,22.0,108.0,73.0,2.0,104.0,3890.0,6.0,11.0,15.0,31.0,52.0,52.0,62.0,35.0,190.0,1.0,2.3554006968641117,5.143369175627241,0.0716246568505116,4.016519823788546,13.554006968641115
53528,6100.0,97.3,46.8,88600.0,203.0,14.0,84.0,68.0,7.0,44.0,9290.0,2.0,2.0,6.0,22.0,51.0,51.0,49.0,22.0,132.0,3.0,2.0541871921182264,4.337606837606838,0.033278688524590164,4.031157270029674,45.76354679802956
53545,23092.0,94.0,24.8,50388.0,225.0,18.0,92.0,50.0,3.0,80.0,2950.0,5.0,3.0,12.0,23.0,40.0,40.0,51.0,28.0,146.0,2.0,2.3155555555555556,9.07258064516129,0.00974363415901611,4.054597701149425,13.11111111111111
53561,1727.0,91.5,36.1,74355.0,92.0,3.0,25.0,26.0,1.0,40.0,2152.0,1.0,3.0,1.0,3.0,13.0,13.0,21.0,22.0,49.0,0.0,2.608695652173913,2.548476454293629,0.05327156919513607,4.186507936507937,23.391304347826086
53585,2317.0,88.8,27.3,49227.0,197.0,12.0,81.0,50.0,5.0,61.0,4027.0,7.0,4.0,11.0,11.0,36.0,36.0,48.0,31.0,118.0,1.0,2.233502538071066,7.216117216117216,0.08502373759171342,4.033112582781457,20.441624365482234
53703,30647.0,104.2,1.8,35129.0,601.0,57.0,238.0,219.0,21.0,123.0,45995.0,7.0,5.0,13.0,41.0,115.0,115.0,212.0,91.0,298.0,3.0,2.048252911813644,333.88888888888886,0.019610402323229026,4.055741360089186,76.53078202995009
53714,16475.0,97.5,4.6,53114.0,830.0,75.0,337.0,289.0,22.0,182.0,51976.0,13.0,13.0,36.0,70.0,158.0,158.0,255.0,106.0,469.0,8.0,2.059036144578313,180.43478260869566,0.050379362670713204,4.028560250391236,62.621686746987955
53719,31790.0,97.9,10.1,75832.0,658.0,68.0,264.0,231.0,16.0,147.0,32016.0,12.0,8.0,26.0,53.0,156.0,156.0,164.0,84.0,410.0,7.0,2.069908814589666,65.14851485148515,0.02069833280905945,4.028531337698784,48.65653495440729
53916,22874.0,81.0,100.5,51572.0,56.0,5.0,20.0,19.0,1.0,16.0,671.0,1.0,2.0,4.0,5.0,7.0,7.0,10.0,11.0,35.0,0.0,2.232142857142857,0.5572139303482587,0.0024481944565882662,4.079268292682927,11.982142857142858
54025,7327.0,97.0,48.6,69939.0,123.0,12.0,24.0,45.0,5.0,49.0,3220.0,6.0,1.0,10.0,14.0,22.0,22.0,31.0,21.0,71.0,0.0,2.6422764227642275,2.5308641975308643,0.016787225330967655,3.9343434343434343,26.178861788617887
54082,1420.0,92.6,13.5,114863.0,349.0,32.0,88.0,139.0,9.0,113.0,10819.0,11.0,3.0,21.0,45.0,70.0,70.0,77.0,51.0,221.0,4.0,2.4212034383954153,25.85185185185185,0.24577464788732395,3.98506151142355,31.0
54130,26290.0,93.5,79.8,64569.0,177.0,15.0,51.0,53.0,5.0,68.0,1925.0,11.0,1.0,9.0,20.0,21.0,21.0,37.0,26.0,114.0,1.0,2.5084745762711864,2.218045112781955,0.006732597945987067,4.046153846153846,10.875706214689265
54136,6433.0,93.8,2.1,48213.0,123.0,11.0,39.0,44.0,2.0,38.0,1800.0,7.0,1.0,7.0,16.0,18.0,18.0,27.0,16.0,80.0,1.0,2.317073170731707,58.57142857142857,0.019120161666407585,3.9973684210526317,14.634146341463415
54212,1125.0,90.7,32.9,78892.0,114.0,14.0,21.0,55.0,9.0,29.0,6266.0,0.0,0.0,4.0,2.0,22.0,22.0,34.0,25.0,55.0,0.0,2.4035087719298245,3.4650455927051675,0.10133333333333333,4.1432926829268295,54.96491228070175
54235,17046.0,82.0,192.2,54141.0,71.0,5.0,24.0,26.0,0.0,21.0,1951.0,2.0,1.0,3.0,4.0,11.0,11.0,23.0,13.0,35.0,0.0,2.2535211267605635,0.3694068678459938,0.004165200046931832,4.043689320388349,27.47887323943662
54311,35604.0,93.5,64.1,63718.0,277.0,19.0,78.0,102.0,8.0,89.0,6908.0,18.0,5.0,12.0,20.0,44.0,44.0,85.0,40.0,152.0,3.0,2.3898916967509027,4.3213728549141965,0.007780024716324009,3.9654761904761906,24.938628158844764
54423,2410.0,87.6,53.4,76996.0,60.0,4.0,22.0,20.0,0.0,18.0,949.0,2.0,1.0,4.0,7.0,12.0,12.0,13.0,7.0,40.0,1.0,2.2333333333333334,1.1235955056179776,0.024896265560165973,3.9846938775510203,15.816666666666666
54466,2886.0,87.6,303.9,51361.0,109.0,7.0,22.0,29.0,5.0,53.0,787.0,3.0,4.0,6.0,9.0,12.0,12.0,28.0,13.0,68.0,0.0,2.81651376146789,0.35867061533399147,0.037768537768537766,4.077419354838709,7.220183486238532
54621,1270.0,88.2,37.7,63302.0,95.0,9.0,36.0,25.0,2.0,32.0,988.0,4.0,2.0,2.0,12.0,16.0,16.0,23.0,19.0,53.0,0.0,2.3157894736842106,2.5198938992042437,0.07480314960629922,3.996598639455782,10.4
