zipcode,n_business,n_d1,n_d2,n_d3,n_d4,n_review,n_s1,n_s1plus,n_s2,n_s2plus,n_s3,n_s3plus,n_s4,n_s4plus,n_s5
53130,59,17,26,0,0,1735,1,2,2,2,11,11,15,10,5
53045,575,211,222,12,0,19256,15,19,31,70,100,134,121,51,34
53051,250,88,98,5,0,6021,4,11,29,29,29,61,52,21,14
50558,6,2,4,0,0,0,0,0,1,1,0,1,1,1,1
53719,658,264,231,16,1,32016,12,8,26,53,112,156,164,84,43
53525,287,108,73,2,1,3890,6,11,15,31,29,52,62,35,46
57269,11,5,6,0,0,0,0,0,0,0,1,2,4,3,1
53225,128,48,44,0,0,3022,5,10,14,15,17,26,24,11,6
53233,992,332,357,29,7,65224,20,16,36,55,104,185,297,183,96
54212,114,21,55,9,0,6266,0,0,4,2,12,22,34,25,15
53186,409,148,150,13,0,12312,8,12,21,46,82,75,89,44,32
53545,225,92,50,3,1,2950,5,3,12,23,30,40,51,28,33
53168,63,22,17,2,0,1290,0,0,2,3,9,14,14,11,10
53154,423,160,154,8,0,12477,8,14,31,34,76,98,94,49,19
53022,159,46,63,3,0,3658,0,3,18,17,19,35,40,12,15
54423,60,22,20,0,0,949,2,1,4,7,7,12,13,7,7
54621,95,36,25,2,0,988,4,2,2,12,5,16,23,19,12
53403,147,63,42,1,1,3044,5,3,3,7,20,27,33,29,20
53561,92,25,26,1,1,2152,1,3,1,3,15,13,21,22,13
54025,123,24,45,5,0,3220,6,1,10,14,14,22,31,21,4
53202,839,267,311,28,6,59516,13,7,32,45,85,164,260,159,74
53405,187,81,57,3,1,3952,6,10,7,19,27,35,32,34,17
53065,168,53,45,2,0,1896,8,3,7,11,30,30,32,27,20
54136,123,39,44,2,0,1800,7,1,7,16,18,18,27,16,13
58727,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1
53128,350,105,121,12,2,13306,8,7,8,26,56,81,66,59,39
54082,349,88,139,9,1,10819,11,3,21,45,50,70,77,51,21
53129,224,83,88,4,0,6773,6,7,11,15,43,49,57,23,13
59821,4,3,1,0,0,0,1,0,0,0,0,0,0,3,0
