zipcode,name,price,rating,review_count,categories
53561,Devil's Lake State Park,,4.5,163,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'rafting', 'title': 'Rafting/Kayaking'}, {'alias': 'rock_climbing', 'title': 'Rock Climbing'}]"
53561,The Cheeze Factory Restaurant,$$,4.5,356,"[{'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53561,Driftless Glen Distillery,$$,4.5,179,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'distilleries', 'title': 'Distilleries'}]"
53561,Remi's Thirsty Moose,$,4.5,58,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
53561,Log Cabin Family Restaurant,$$,4.0,167,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]"
53561,Candy's Merrimac Cafe,$,4.5,12,"[{'alias': 'cafes', 'title': 'Cafes'}]"
53561,Little Village Cafe,$$,4.5,111,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'burgers', 'title': 'Burgers'}]"
53561,Forevertron,$,5.0,26,"[{'alias': 'galleries', 'title': 'Art Galleries'}, {'alias': 'museums', 'title': 'Museums'}]"
53561,Fitz's On The Lake,$$,3.5,67,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53561,Blue Spoon Cafe,$$,4.0,97,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
53561,Jose's Authentic Mexican Restaurant,$$,4.0,90,"[{'alias': 'mexican', 'title': 'Mexican'}]"
53561,Parfrey's Glen,,4.5,8,"[{'alias': 'hiking', 'title': 'Hiking'}]"
53561,Broadway Diner,$$,4.0,59,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
53561,Mama Mia,$$,4.5,37,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]"
53561,Circus World,,4.0,46,"[{'alias': 'museums', 'title': 'Museums'}, {'alias': 'theater', 'title': 'Performing Arts'}, {'alias': 'magicians', 'title': 'Magicians'}]"
53561,Fish Tales Restaurant,$$,4.0,20,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'pizza', 'title': 'Pizza'}]"
53561,Baraboo Burger Company,$$,4.0,54,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
53561,Ferry Landing Concessions,$,4.0,6,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
53561,Coffee Bean Connection,$,4.5,27,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]"
53561,Treinen Farm,,4.0,15,"[{'alias': 'amusementparks', 'title': 'Amusement Parks'}]"
53561,Quindt's Towne Lounge & Eating House,$$,4.5,16,"[{'alias': 'lounges', 'title': 'Lounges'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53561,C-G's Pub & Grub,$,4.5,3,"[{'alias': 'bars', 'title': 'Bars'}]"
53561,Que's Bar & River Deck,$,4.0,26,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53561,Neat-O's Bake Shoppe,$,4.0,22,"[{'alias': 'bakeries', 'title': 'Bakeries'}]"
53561,Ferry X-ing Bar & Grill,$,3.5,6,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'divebars', 'title': 'Dive Bars'}]"
53561,Brothers On Oak,$,4.5,13,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}]"
53561,Jen's Alpine Cafe,$,3.5,28,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'soup', 'title': 'Soup'}]"
53561,Downtowner Bar & Grill,,5.0,7,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53561,Lucky's Bar & Grille - On The Lake,$$,2.5,36,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
53561,Varsity Club,,3.5,4,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'salad', 'title': 'Salad'}]"
53561,King Wok,$,4.5,7,"[{'alias': 'chinese', 'title': 'Chinese'}]"
53561,Gibraltar Rock State Natural Area,,4.5,3,"[{'alias': 'parks', 'title': 'Parks'}]"
53561,Spring Creek Restaurant & Bar,$,4.0,15,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}]"
53561,KD's Bar & Grill,$$,4.5,8,"[{'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53561,Fore Season Restaurants,,5.0,4,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53561,The Old School House,,3.5,4,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
53561,Sunset Harbor Bar and Grill,$$,3.0,9,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'localflavor', 'title': 'Local Flavor'}]"
53561,La Grotta Wine Bar,,5.0,4,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}]"
53561,Eagle Inn - Sauk Prairie,$,3.5,27,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
53561,Con Amici Wine Bar,$$,5.0,5,"[{'alias': 'wine_bars', 'title': 'Wine Bars'}]"
53561,Al Ringling Mansion,,5.0,6,"[{'alias': 'tours', 'title': 'Tours'}, {'alias': 'landmarks', 'title': 'Landmarks & Historical Buildings'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
53561,Downtown Coffee Grounds,$$,3.5,10,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]"
53561,Peking Buffet,$$,3.0,17,"[{'alias': 'buffets', 'title': 'Buffets'}, {'alias': 'chinese', 'title': 'Chinese'}]"
53561,The Green Vine,$,4.0,9,"[{'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
53561,Pizza Ranch,$,3.5,21,"[{'alias': 'pizza', 'title': 'Pizza'}]"
53561,Log Tavern Pizza,$$,4.0,5,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]"
53561,Merrimac Scoop,,5.0,5,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'pretzels', 'title': 'Pretzels'}]"
53561,Devil's Lake Lavender Bistro,,4.5,4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
53561,Square Tavern,$,4.0,7,"[{'alias': 'bars', 'title': 'Bars'}]"
53561,Dr. Evermor's Sculpture Park,$$$$,4.5,3,"[{'alias': 'localflavor', 'title': 'Local Flavor'}, {'alias': 'galleries', 'title': 'Art Galleries'}]"
53561,Birdie's Cafe,,4.0,6,"[{'alias': 'restaurants', 'title': 'Restaurants'}]"
53561,Prairie House Food & Spirits,$$,3.5,23,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'pizza', 'title': 'Pizza'}]"
53561,Wok King Restaurant,,3.5,12,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'soup', 'title': 'Soup'}]"
53561,Man Mound Park,,5.0,2,"[{'alias': 'parks', 'title': 'Parks'}]"
53561,Los Hernandez,,4.5,3,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'mexican', 'title': 'Mexican'}]"
53561,Lakeside Bar & Grill,$$,3.0,8,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]"
53561,One11Main Bar & Grille,,3.0,10,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'burgers', 'title': 'Burgers'}]"
53561,Lake Wisconsin Ferry Treats & Eats,$,4.0,1,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
53561,GEM City Saloon,,4.5,3,"[{'alias': 'pizza', 'title': 'Pizza'}]"
53561,JAK Frost,$,4.5,3,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
53561,Four Star Family Restaurant,$,4.0,8,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'desserts', 'title': 'Desserts'}]"
53561,Ochsner Park & Zoo,,3.0,12,"[{'alias': 'zoos', 'title': 'Zoos'}]"
53561,Iron Skillet,$,3.0,20,"[{'alias': 'newamerican', 'title': 'American (New)'}]"
53561,Glacier Rock,$$,3.0,18,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'venues', 'title': 'Venues & Event Spaces'}]"
53561,Culver's Restaurant-Baraboo,$,3.5,11,"[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]"
53561,Tano's Pizza,,3.0,8,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}]"
53561,North Shore Restaurant and Bar,,4.0,5,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}, {'alias': 'poolhalls', 'title': 'Pool Halls'}]"
53561,Lucy's Family Restaurant,$$,3.0,8,"[{'alias': 'cafes', 'title': 'Cafes'}]"
53561,Bonzos,$$,3.5,6,"[{'alias': 'bars', 'title': 'Bars'}]"
53561,Goeres Park,,5.0,1,"[{'alias': 'parks', 'title': 'Parks'}, {'alias': 'fishing', 'title': 'Fishing'}, {'alias': 'swimmingpools', 'title': 'Swimming Pools'}]"
53561,Frannie's Franks,,4.5,2,"[{'alias': 'foodtrucks', 'title': 'Food Trucks'}, {'alias': 'hotdog', 'title': 'Hot Dogs'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
53561,Las Milpas,,4.5,3,"[{'alias': 'intlgrocery', 'title': 'International Grocery'}, {'alias': 'mexican', 'title': 'Mexican'}]"
53561,Old Baraboo Inn,,5.0,1,"[{'alias': 'hotels', 'title': 'Hotels'}, {'alias': 'restaurants', 'title': 'Restaurants'}]"
53561,Subway,$,2.5,3,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]"
