alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
minocqua-brewing-company-minocqua,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'musicvenues', 'title': 'Music Venues'}, {'alias': 'breweries', 'title': 'Breweries'}]","{'latitude': 45.8725891113281, 'longitude': -89.7102813720703}",(715) 356-2600,31550.9826215276,pXErMeU0JPJ5bhyQceF3Cg,https://s3-media3.fl.yelpcdn.com/bphoto/DiH9Lm1ZWxU3Eeh3Yp8fdA/o.jpg,False,"{'address1': '238 Lake Shore Dr', 'address2': None, 'address3': '', 'city': 'Minocqua', 'zip_code': '54548', 'country': 'US', 'state': 'WI', 'display_address': ['238 Lake Shore Dr', 'Minocqua, WI 54548']}",Minocqua Brewing Company,+17153562600,$$,3.5,220,[],https://www.yelp.com/biz/minocqua-brewing-company-minocqua?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
bitters-bull-lake-tomahawk,"[{'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]","{'latitude': 45.8128858099055, 'longitude': -89.5919644723163}",(715) 277-2488,32981.84445110451,v89n4Ia5IZZB-NbVKDs9DQ,https://s3-media3.fl.yelpcdn.com/bphoto/EOrJwyhWx4YIlbJ94xHaUg/o.jpg,False,"{'address1': '7255 Bradley St', 'address2': '', 'address3': None, 'city': 'Lake Tomahawk', 'zip_code': '54539', 'country': 'US', 'state': 'WI', 'display_address': ['7255 Bradley St', 'Lake Tomahawk, WI 54539']}",Bitters + Bull,+17152772488,$$,4.5,53,[],https://www.yelp.com/biz/bitters-bull-lake-tomahawk?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-boathouse-minocqua,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 45.8684126357943, 'longitude': -89.7101709436554}",(715) 358-3999,31167.277330641668,HbEyqJMBnDU52bo3xcXX2Q,https://s3-media1.fl.yelpcdn.com/bphoto/TQhnA9D-naFrpp9rN4_w5Q/o.jpg,False,"{'address1': '305 W Park Ave', 'address2': '', 'address3': '', 'city': 'Minocqua', 'zip_code': '54548', 'country': 'US', 'state': 'WI', 'display_address': ['305 W Park Ave', 'Minocqua, WI 54548']}",The Boathouse,+17153583999,$$,3.5,101,[],https://www.yelp.com/biz/the-boathouse-minocqua?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
paul-bunyans-cook-shanty-minocqua,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'giftshops', 'title': 'Gift Shops'}]","{'latitude': 45.884147, 'longitude': -89.705413}",(715) 356-6270,32836.267447856764,FKQs6l5guTCOJ_N-xDy7aA,https://s3-media2.fl.yelpcdn.com/bphoto/mggrrrHVnfE2c1L0wd57Bw/o.jpg,False,"{'address1': '8653 US Hwy 51 N', 'address2': '', 'address3': '', 'city': 'Minocqua', 'zip_code': '54548', 'country': 'US', 'state': 'WI', 'display_address': ['8653 US Hwy 51 N', 'Minocqua, WI 54548']}",Paul Bunyan's Cook Shanty,+17153566270,$$,3.5,96,[],https://www.yelp.com/biz/paul-bunyans-cook-shanty-minocqua?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
monicals-pizza-woodruff,"[{'alias': 'pizza', 'title': 'Pizza'}]","{'latitude': 45.9065819, 'longitude': -89.6949921}",(715) 358-9959,35381.75731338007,RPvMr_-oUS12AV-5w5drzQ,https://s3-media1.fl.yelpcdn.com/bphoto/ofmnz1NdrBeL9q-5MWvGbw/o.jpg,False,"{'address1': '360 US Hwy 51 N', 'address2': '', 'address3': '', 'city': 'Woodruff', 'zip_code': '54568', 'country': 'US', 'state': 'WI', 'display_address': ['360 US Hwy 51 N', 'Woodruff, WI 54568']}",Monical's Pizza,+17153589959,$$,4.5,56,[],https://www.yelp.com/biz/monicals-pizza-woodruff?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
island-cafe-minocqua,"[{'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'latitude': 45.869412, 'longitude': -89.70926}",(715) 356-6977,31298.870975740425,MeHwmLKmZhuVGjGEhc_F1Q,https://s3-media3.fl.yelpcdn.com/bphoto/PtkFAQjZdbLp6vgOpXJCjQ/o.jpg,False,"{'address1': '314 Oneida St', 'address2': '', 'address3': '', 'city': 'Minocqua', 'zip_code': '54548', 'country': 'US', 'state': 'WI', 'display_address': ['314 Oneida St', 'Minocqua, WI 54548']}",Island Cafe,+17153566977,$$,3.5,78,[],https://www.yelp.com/biz/island-cafe-minocqua?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
chef-renes-at-timber-ridge-minocqua,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'steak', 'title': 'Steakhouses'}]","{'latitude': 45.8232685, 'longitude': -89.7444694}",(715) 356-7070,25520.75548084146,8eqNe350u_XtUk_MbDX4MQ,https://s3-media3.fl.yelpcdn.com/bphoto/_dWii1KgK4N-fZB6ZMqG-A/o.jpg,False,"{'address1': '10030 Timber Ridge Rd', 'address2': '', 'address3': '', 'city': 'Minocqua', 'zip_code': '54548', 'country': 'US', 'state': 'WI', 'display_address': ['10030 Timber Ridge Rd', 'Minocqua, WI 54548']}",Chef Rene's at Timber Ridge,+17153567070,$$$,4.0,30,[],https://www.yelp.com/biz/chef-renes-at-timber-ridge-minocqua?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
the-great-northern-coffee-minocqua,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 45.8710785, 'longitude': -89.7107773}",(715) 358-0475,31389.517886655085,RKNnwXxP2WhOfCJtHFlwiw,https://s3-media2.fl.yelpcdn.com/bphoto/qIuHsDYRPnfh-Pzdr3LPmA/o.jpg,False,"{'address1': '215 W Front St', 'address2': '', 'address3': '', 'city': 'Minocqua', 'zip_code': '54548', 'country': 'US', 'state': 'WI', 'display_address': ['215 W Front St', 'Minocqua, WI 54548']}",The Great Northern Coffee,+17153580475,$$,4.5,33,[],https://www.yelp.com/biz/the-great-northern-coffee-minocqua?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
bad-bones-bbq-arbor-vitae,"[{'alias': 'bbq', 'title': 'Barbeque'}]","{'latitude': 45.9192329243171, 'longitude': -89.6957493200898}",(715) 358-0200,36561.38723974619,8PvTkGiBOqvJQjBfDS-G6w,https://s3-media3.fl.yelpcdn.com/bphoto/Iggod97l9Cz7KC4ClGG3MQ/o.jpg,False,"{'address1': '1421 US Hwy 51 N', 'address2': '', 'address3': '', 'city': 'Arbor Vitae', 'zip_code': '54568', 'country': 'US', 'state': 'WI', 'display_address': ['1421 US Hwy 51 N', 'Arbor Vitae, WI 54568']}",Bad Bones BBQ,+17153580200,$$,4.0,55,"['pickup', 'delivery']",https://www.yelp.com/biz/bad-bones-bbq-arbor-vitae?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
billy-bobs-sports-bar-and-grill-tomahawk,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}, {'alias': 'soup', 'title': 'Soup'}]","{'latitude': 45.552781, 'longitude': -89.716662}",(715) 453-4984,19011.008252680655,0bWpRZGZaB4SmHRHnAxhCQ,https://s3-media2.fl.yelpcdn.com/bphoto/KZlrprNVrNZbjkN03bscJA/o.jpg,False,"{'address1': 'N 12025 Co Hwy L', 'address2': None, 'address3': None, 'city': 'Tomahawk', 'zip_code': '54487', 'country': 'US', 'state': 'WI', 'display_address': ['N 12025 Co Hwy L', 'Tomahawk, WI 54487']}",Billy Bob's Sports Bar and Grill,+17154534984,$,4.0,35,[],https://www.yelp.com/biz/billy-bobs-sports-bar-and-grill-tomahawk?adjust_creative=GVWAITeAe13hPk5JlriDSg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GVWAITeAe13hPk5JlriDSg
