zipcode,average_agi,n_returns
35004,55202,5210
35005,38967,3100
35006,47595,1200
35007,57753,11940
35010,48045,7910
35014,45970,1620
35016,50927,7130
35019,43348,890
35020,27566,9050
35022,55734,9800
35023,46331,10050
35031,41927,2860
35033,58436,1380
35034,37346,1390
35035,64763,570
35040,52324,7590
35042,46595,2200
35043,82174,5070
35044,41550,3060
35045,46329,5500
35046,52719,2350
35049,48732,1550
35051,62357,3290
35053,62837,1050
35054,69397,1820
35055,51555,7950
35057,53220,5290
35058,50391,4220
35060,27600,160
35061,34878,640
35062,52800,3220
35063,43233,1200
35064,34063,4300
35068,47604,3760
35071,61377,7480
35072,39338,1820
35073,39136,930
35077,42400,5210
35078,49197,870
35079,53849,3420
35080,70918,7840
35083,44838,1200
35085,44893,3400
35087,39710,840
35089,32065,750
35091,68000,1260
35094,55220,6290
35096,49665,3420
35097,48535,770
35098,43591,560
35111,62279,6970
35112,32544,180
35114,64109,3070
35115,44137,5200
35116,61486,2000
35117,62313,2680
35118,45178,1350
35120,52644,6110
35121,51390,5880
35124,78974,11730
35125,45010,4390
35126,52264,9500
35127,51003,4340
35128,60818,4270
35130,44735,1200
35131,41948,1480
35133,49829,1560
35135,55225,810
35136,47980,650
35143,53637,1240
35146,64149,4520
35147,70800,2280
35148,42522,1060
35149,35083,240
35150,42405,6940
35151,48322,2940
35160,41517,9680
35171,53833,1330
35172,42374,1120
35173,82333,12710
35175,58960,2060
35176,42133,330
35178,45666,1460
35179,50418,3730
35180,54917,5680
35183,46439,280
35184,43961,2080
35186,72232,2020
35188,53314,1170
35203,99671,1350
35204,25364,3590
35205,57427,7630
35206,29678,6530
35207,25362,3280
35208,27473,5790
35209,107812,11970
35210,57035,6580
35211,30775,10610
35212,35159,4710
35213,222971,6830
35214,37546,8260
35215,33330,19940
35216,87967,16150
35217,32869,5030
35218,24663,2580
35221,26950,1790
35222,84861,3760
35223,336277,5480
35224,29307,2150
35226,99551,16570
35228,29257,4220
35233,69536,880
35234,24062,1910
35235,42637,9230
35242,128762,25250
35243,130433,9880
35244,93626,15940
35401,33859,9870
35404,41019,7910
35405,47513,18070
35406,131436,6670
35441,41273,460
35442,36259,1880
35443,32241,650
35444,46344,1510
35446,47661,840
35447,40230,1220
35452,50264,1570
35453,46206,4860
35456,44332,1810
35458,46368,220
35459,34540,320
35460,29779,240
35461,44648,700
35462,33728,1850
35463,45832,770
35464,23975,200
35466,49955,2240
35469,34630,130
35470,40843,1800
35473,56173,7110
35474,48704,2770
35475,81571,6850
35476,42415,3660
35480,53408,690
35481,40119,1280
35490,52012,1720
35501,41057,3670
35503,48093,3290
35504,61252,5050
35540,43403,920
